id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,raw_reference,safe_reference,positive_r,coefficient_denominator,stable_denominator,tone_reference
epsilon_0p001_front,0.001,0.5,0.999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.044709764420986176,0.04471017781221634,0.04470991050852286,0.044709764420986176,0.24999994572518947,0.24999994572518947,0.04470989014236669
epsilon_0p001_grazing,0.001,0.5,0.999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.42587196826934814,0.42586951912646676,0.4258721169140846,0.42587196826934814,0.24999999116325383,0.24999999116325383,0.42587200032499223
epsilon_0p001_reverse,0.001,0.5,0.0,0.0,0.999,0.001,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.0009999875910580158,0.001,0.0010000005238579082,0.0009999875910580158,0.24999994051456453,0.24999994051456453,0.0010000000474974513
epsilon_0p0001_dark,0.0001,0.0001,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.00015479876310564578,1.0,1.0,1.0,0.0,1.547987591951001e-09,1.0
epsilon_0p0001_black,0.0001,0.9999,0.0,0.0,0.9999,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.9998899102210999,0.0,0.9998999668017065,0.9998998641967773,9.999899618544984e-06,9.999899896839255e-06,0.9999899983399426
epsilon_0p0001_front,0.0001,0.5,0.9999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.014143316075205803,0.014141782065920051,0.014142961946011987,0.014143316075205803,0.24999994208132686,0.24999994208132686,0.01414295529750232
epsilon_0p0001_grazing,0.0001,0.5,0.9999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.9428566098213196,0.9428404649819243,0.9428144198637597,0.9428566098213196,0.25000005278758936,0.25000005278758936,0.9428143941548932
epsilon_0p0001_reverse,0.0001,0.5,0.0,0.0,0.9999,0.0001,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00010001663758885115,0.0001,0.00010000004515274513,0.00010001663758885115,0.24999994040727616,0.24999994040727613,9.999999747378752e-05
epsilon_1e-05_dark,1e-05,1e-05,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,1.5479876310564578e-05,1.0,1.0,1.0,0.0,1.547987591951001e-10,1.0
epsilon_1e-05_black,1e-05,0.99999,0.0,0.0,0.99999,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.9999889731407166,0.0,0.9999989972819873,0.9999989867210388,9.999899716560576e-06,9.999899625177076e-06,0.9999989986419013
