id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,gpu_g,gpu_b,reference_stored,reference_requested,positive_r,reference_at_gpu_tone,reference_tone,gpu_tone,reference_denominator,gpu_denominator_raw
epsilon_0p01136,0.01136,0.01136,0.0,0.0,0.0,1.0,0.01,0.011361136,0.011361136,0.011361136,0.0,0.0,1.0,0.9975810647010803,0.9975810647010803,0.9975810647010803,1.0,1.0,1.0,1.0,1.0,1.0,9.989357734020645e-06,1.0013580322265625e-05
epsilon_0p01137,0.01137,0.01137,0.0,0.0,0.0,1.0,0.01,0.011371137,0.011371137,0.011371137,0.0,0.0,1.0,0.9993381500244141,0.9993381500244141,0.9993381500244141,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0006952556632868e-05,1.0013580322265625e-05
epsilon_0p0115,0.0115,0.0115,0.0,0.0,0.0,1.0,0.01,0.01150115,0.01150115,0.01150115,0.0,0.0,1.0,0.9985460042953491,0.9985460042953491,0.9985460042953491,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0237092143031178e-05,1.0251998901367188e-05
epsilon_0p012,0.012,0.012,0.0,0.0,0.0,1.0,0.01,0.0120012,0.0120012,0.0120012,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.114662513512668e-05,1.1146068572998047e-05
epsilon_0p02,0.02,0.02,0.0,0.0,0.0,1.0,0.01,0.020002,0.020002,0.020002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.096284741246295e-05,3.0934810638427734e-05
extra_small_shift_0p0101_0,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0101,0.0101,0.0101,0.0022952803302607374,0.0,0.9999973658406334,0.7514817118644714,0.7514817118644714,0.7514817118644714,0.7499994974908988,0.7499995060910933,0.7508228421211243,0.7508228881854294,0.9999973658406692,0.9999973773956299,1.042309552519373e-05,1.0402536645415239e-05
extra_small_shift_0p0101_1e-05,0.01,0.01,1e-05,0.0,0.0,1.0,0.01,0.0101,0.0101,0.0101,0.0022952803302607374,0.0,0.9999973658406334,0.7514817118644714,0.7514817118644714,0.7514817118644714,0.7516332770982608,0.7516332856861967,0.7508228421211243,0.7508228881854294,0.999997388743412,0.9999973773956299,1.0400439713649662e-05,1.0402536645415239e-05
extra_small_shift_0p013_0,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.013,0.013,0.013,0.0026043264761565874,0.0,0.9999966087360525,0.7490279674530029,0.7490279674530029,0.7490279674530029,0.7499993581183722,0.7499993641364752,0.7496566772460938,0.7496566768644838,0.9999966087360365,0.9999966025352478,1.3415858293620352e-05,1.3433256754069589e-05
extra_small_shift_0p013_1e-05,0.01,0.01,1e-05,0.0,0.0,1.0,0.01,0.013,0.013,0.013,0.0026043264761565874,0.0,0.9999966087360525,0.7490279674530029,0.7490279674530029,0.7490279674530029,0.7514392644252611,0.7514392704639624,0.7496566772460938,0.7496566768644838,0.9999966347292132,0.9999966025352478,1.3390151202784684e-05,1.3433256754069589e-05
extra_small_shift_0p015_0,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.015,0.015,0.015,0.0027977117919855206,0.0,0.9999960863967063,0.7484001517295837,0.7484001517295837,0.7484001517295837,0.7499992381994793,0.7499992661986287,0.7490277886390686,0.749027785488592,0.9999960863963198,0.9999960660934448,1.5479830523779122e-05,1.5512905520154163e-05
extra_small_shift_0p015_1e-05,0.01,0.01,1e-05,0.0,0.0,1.0,0.01,0.015,0.015,0.015,0.0027977117919855206,0.0,0.9999960863967063,0.7484001517295837,0.7484001517295837,0.7484001517295837,0.7513396150078776,0.7513396430126268,0.7490277886390686,0.749027785488592,0.9999961143233298,0.9999960660934448,1.545221520683378e-05,1.5512905520154163e-05
extra_small_shift_0p02_0,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.02,0.02,0.02,0.0032311442660146548,0.0,0.999994779839741,0.7484725117683411,0.7484725117683411,0.7484725117683411,0.7499990010279041,0.7499990212152113,0.749100387096405,0.7491003803461279,0.999994779839443,0.9999947547912598,2.0639753591451716e-05,2.068184403469786e-05
extra_small_shift_0p02_1e-05,0.01,0.01,1e-05,0.0,0.0,1.0,0.01,0.02,0.02,0.02,0.0032311442660146548,0.0,0.999994779839741,0.7484725117683411,0.7484725117683411,0.7484725117683411,0.7511595778069956,0.7511595979940574,0.749100387096405,0.7491003803461279,0.9999948121007183,0.9999947547912598,2.06078648689331e-05,2.068184403469786e-05
extra_small_shift_0p04_0,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.04,0.04,0.04,0.004573068450421834,0.0,0.9999895434678043,0.7509134411811829,0.7509134411811829,0.7509134411811829,0.7499980287895477,0.7499980393867239,0.7504594922065735,0.7504595043894605,0.9999895434677426,0.9999895691871643,4.1279344538152574e-05,4.122902100789361e-05
extra_small_shift_0p04_1e-05,0.01,0.01,1e-05,0.0,0.0,1.0,0.01,0.04,0.04,0.04,0.004573068450421834,0.0,0.9999895434678043,0.7509134411811829,0.7509134411811829,0.7509134411811829,0.7508180461514169,0.7508180567481938,0.7504594922065735,0.7504595043894605,0.9999895891479506,0.9999895691871643,4.123426255706073e-05,4.122902100789361e-05
extra_cancellation_worst,0.01,0.011,0.0,0.0,0.0,1.0,0.01,0.011867604444444443,0.011867604444444443,0.011867604444444443,0.0,0.0,1.0,0.9971585869789124,0.9971585869789124,0.9971585869789124,1.0,1.0,1.0,1.0,1.0,1.0,1.0103997545049623e-05,1.0132789611816406e-05
extra_rounding_no_floor,0.01,0.01,0.0,0.0,0.99,1.0,0.01,0.0129,0.0129,0.0129,0.004472124773269218,0.0,0.9999900000000062,0.98549485206604,0.98549485206604,0.98549485206604,0.9901917147514869,0.9901917057440565,0.9883295893669128,0.9883295905742288,0.999999900000089,0.9999998807907104,1.008342057327197e-05,1.013147812045645e-05
extra_epsilon_012_cancellation,0.01,0.012,0.0,0.0,0.0,1.0,0.01,0.012034265555555555,0.012034265555555555,0.012034265555555555,0.0,0.0,1.0,0.9974711537361145,0.9974711537361145,0.9974711537361145,1.0,1.0,1.0,1.0,1.0,1.0,1.1177336428614152e-05,1.1205673217773438e-05
